delay_gap,is_delayed,Type_TRANSFER,Order City,order_day,delay_ratio,Order State,Customer City,Order Country,Order Region
1.878859,0.8158807,5.984001,-0.21583237,-0.41640934,0.21247415,-0.09552365,-0.41903642,0.26796284,-0.16763532
1.9504687,0.81586367,5.8764396,0.056644358,-0.31958336,0.061056454,0.061857566,-0.16276264,0.08089569,-0.086623065
1.8232148,0.77429515,6.6184044,0.14253229,0.27199852,0.9849503,0.51790637,0.09278423,-0.22145009,-0.13286853
1.8232148,0.77429515,6.6184044,0.14253229,0.27199852,0.9849503,0.51790637,0.09278423,-0.22145009,-0.13286853
-10.208933,-4.093057,2.6587706,0.08313935,0.13674428,-1.5153347,0.28745767,0.32859874,-0.22456223,0.093966484
1.8274696,0.77506155,6.8919315,-0.1314134,-0.25005305,1.1022696,-0.44273397,0.028060298,-0.45217672,-0.0426945
1.8274696,0.77506155,6.8919315,-0.1314134,-0.25005305,1.1022696,-0.44273397,0.028060298,-0.45217672,-0.0426945
1.8274696,0.77506155,6.8919315,-0.1314134,-0.25005305,1.1022696,-0.44273397,0.028060298,-0.45217672,-0.0426945
1.8274696,0.77506155,6.8919315,-0.1314134,-0.25005305,1.1022696,-0.44273397,0.028060298,-0.45217672,-0.0426945
1.9371539,0.7843042,6.33381,0.015446245,0.19177915,1.4976534,0.05989766,0.82515216,0.39719298,-0.19680512
1.9371539,0.7843042,6.33381,0.015446245,0.19177915,1.4976534,0.05989766,0.82515216,0.39719298,-0.19680512
1.8178356,0.7747805,6.7474084,-0.16873907,0.21905181,1.1760473,-0.27892372,0.06347134,0.25583103,0.070703655
1.8178356,0.7747805,6.7474084,-0.16873907,0.21905181,1.1760473,-0.27892372,0.06347134,0.25583103,0.070703655
1.8178356,0.7747805,6.7474084,-0.16873907,0.21905181,1.1760473,-0.27892372,0.06347134,0.25583103,0.070703655
1.8178356,0.7747805,6.7474084,-0.16873907,0.21905181,1.1760473,-0.27892372,0.06347134,0.25583103,0.070703655
1.8178356,0.7747805,6.7474084,-0.16873907,0.21905181,1.1760473,-0.27892372,0.06347134,0.25583103,0.070703655
-10.065914,-4.1256933,2.7604122,-0.2747847,0.22071463,-1.4798131,-0.098127104,0.600776,-0.038738392,-0.026864538
1.8616788,0.77257913,6.798787,-0.0041578934,0.44835818,0.67116016,-0.53287536,-0.8721653,-0.34784904,-0.31600404
1.6762807,0.5609478,-1.2878234,0.35364398,0.79322356,0.63485414,0.6954828,2.1496606,0.21366823,0.12886126
-10.351498,-4.224185,2.4896314,0.032001078,0.5834589,-1.8835558,-0.1043033,0.22015908,0.61033124,2.8732e-05
